"Name","Type","Id","Native"
"Carbon Intensity (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_carbonintensityip","False"
"CardPlatform Adaptive Cards","connector","/providers/Microsoft.PowerApps/apis/shared_cardplatform","False"
"Cards for Power Apps","connector","/providers/Microsoft.PowerApps/apis/shared_cardsforpowerapps","True"
"CarsXE (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_carsxeip","False"
"Cascade","connector","/providers/Microsoft.PowerApps/apis/shared_cascade","False"
"Cascade Strategy New","connector","/providers/Microsoft.PowerApps/apis/shared_cascadestrategynew","False"
"Casper365 for Education","connector","/providers/Microsoft.PowerApps/apis/shared_casper365","False"
"CDC Content Services (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_cdccontentservicesip","False"
"CDK Drive Customer","connector","/providers/Microsoft.PowerApps/apis/shared_cdkdrivecustomer","False"
"CDK Drive Service Vehicles","connector","/providers/Microsoft.PowerApps/apis/shared_cdkdriveservicevehicles","False"
"Elead Product Reference Data","connector","/providers/Microsoft.PowerApps/apis/shared_cdkeleadproductreferencedata","False"
"Elead Sales Customers","connector","/providers/Microsoft.PowerApps/apis/shared_cdkeleadsalescustomers","False"
"Elead Sales Opportunities","connector","/providers/Microsoft.PowerApps/apis/shared_cdkeleadsalesopportunities","False"
"Centrical","connector","/providers/Microsoft.PowerApps/apis/shared_centrical","False"
"CGTrader","connector","/providers/Microsoft.PowerApps/apis/shared_cgtrader","False"
"Chatter","connector","/providers/Microsoft.PowerApps/apis/shared_chatter","False"
"Checkly (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_checklyip","False"
"Chuck Norris IO (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_chucknorrisioip","False"
"cioplenu","connector","/providers/Microsoft.PowerApps/apis/shared_cioplenu","False"
"Cireson Service Manager Portal","connector","/providers/Microsoft.PowerApps/apis/shared_ciresonservicemanage","False"
"Cisco Webex Meetings","connector","/providers/Microsoft.PowerApps/apis/shared_ciscowebexmeetings","False"
"Citymapper (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_citymapperip","False"
"CivicPlus Transform","connector","/providers/Microsoft.PowerApps/apis/shared_civicplustransform","False"
"Clearbit (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_clearbitip","False"
"ClickSend Postcards","connector","/providers/Microsoft.PowerApps/apis/shared_clicksendpostcards","False"
"ClickSend SMS","connector","/providers/Microsoft.PowerApps/apis/shared_clicksendsms","False"
"ClickUp Team Manager (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_clickupteammanagerip","False"
"Climatiq (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_climatiqip","False"
